Date,Open,High,Low,Close,Adj Close,Volume
2001-06-07,12150.000000,12250.000000,12100.000000,12100.000000,6773.517578,744000
2001-06-08,12150.000000,12150.000000,12050.000000,12050.000000,6745.528809,482000
2001-06-11,12100.000000,12250.000000,12100.000000,12200.000000,6829.496582,1006000
2001-06-12,12250.000000,13000.000000,12200.000000,12950.000000,7249.344238,7133500
2001-06-13,13100.000000,13150.000000,12650.000000,12650.000000,7081.405273,4351000
2001-06-14,12650.000000,12900.000000,12550.000000,12750.000000,7137.384766,1989000
2001-06-15,12750.000000,12800.000000,12450.000000,12500.000000,6997.435059,2547500
2001-06-18,12500.000000,12700.000000,12350.000000,12700.000000,7109.393066,1525500
2001-06-19,12700.000000,12950.000000,12650.000000,12800.000000,7165.375000,2983500
2001-06-20,12800.000000,12950.000000,12700.000000,12850.000000,7193.362793,2287500
2001-06-21,12900.000000,12950.000000,12700.000000,12950.000000,7249.344238,3742000
2001-06-22,13000.000000,13650.000000,13000.000000,13650.000000,7641.200684,10027500
2001-06-25,13650.000000,13800.000000,13450.000000,13450.000000,7529.240234,3452500
2001-06-26,13450.000000,13700.000000,13450.000000,13500.000000,7557.229492,2073500
2001-06-27,13500.000000,13600.000000,13300.000000,13450.000000,7529.240234,1659000
2001-06-28,13400.000000,13400.000000,12750.000000,12900.000000,7221.353516,3771000
2001-06-29,12950.000000,13200.000000,12750.000000,13200.000000,7389.293945,3796500
2001-07-02,13200.000000,13200.000000,12900.000000,13000.000000,7277.333984,500000
2001-07-03,12950.000000,13050.000000,12750.000000,12800.000000,7165.375000,1179500
2001-07-04,12850.000000,12850.000000,12750.000000,12850.000000,7193.362793,506000
2001-07-05,12850.000000,13100.000000,12850.000000,13000.000000,7277.333984,1326000
2001-07-06,12950.000000,13000.000000,12950.000000,13000.000000,7277.333984,116500
2001-07-09,12950.000000,13150.000000,12950.000000,13050.000000,7305.322266,1175000
2001-07-10,13050.000000,13150.000000,12950.000000,13000.000000,7277.333984,611000
2001-07-11,13000.000000,13200.000000,13000.000000,13150.000000,7361.303711,857000
2001-07-12,13150.000000,13150.000000,12900.000000,12950.000000,7249.344238,1454500
